Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly BioSample Accession	CheckM completeness	CheckM contamination
GCF_006980565.2	ASM698056v2	Xanthomonas perforans		GEV2048					GCF_006980565.2-RS_2024_08_31	Complete Genome	2024-08-31		4							Oxford Nanopore	SAMN08610925	99.84	0.92
GCA_001908855.1	ASM190885v1	Xanthomonas perforans		LH3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-19		5							PacBio RSII	SAMN05823509	99.84	1.38
GCF_001908855.1	ASM190885v1	Xanthomonas perforans		LH3					GCF_001908855.1-RS_2024_05_05	Complete Genome	2016-12-19		5							PacBio RSII	SAMN05823509	99.84	1.38
GCA_040202535.2	ASM4020253v2	Xanthomonas perforans		WHRI 8957					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-28		3							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354535	99.84	1.34
GCF_040202535.2	ASM4020253v2	Xanthomonas perforans		WHRI 8957					GCF_040202535.2-RS_2024_08_29	Complete Genome	2024-08-29		3							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354535	99.84	1.34
GCA_000192045.3	ASM19204v3	Xanthomonas perforans 91-118		91-118					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-02-21		1								SAMN02471764	99.81	0.03
GCF_000192045.2	ASM19204v3	Xanthomonas perforans 91-118		91-118					GCF_000192045.2-RS_2024_05_05	Complete Genome	2017-02-21		1								SAMN02471764	99.81	0.03
GCA_025765795.1	ASM2576579v1	Xanthomonas sacchari		YT9-19-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-20		1							Oxford Nanopore	SAMN28835866	96.51	3.55
GCF_025765795.1	ASM2576579v1	Xanthomonas sacchari		YT9-19-2					GCF_025765795.1-RS_2024_05_06	Complete Genome	2022-10-20		1							Oxford Nanopore	SAMN28835866	96.51	3.55
GCF_029761895.1	ASM2976189v1	Xanthomonas sacchari		DJ16					GCF_029761895.1-RS_2024_05_12	Complete Genome	2023-04-16		1							Oxford Nanopore PromethION	SAMN34022395	97.12	3.53
GCA_025765815.1	ASM2576581v1	Xanthomonas sacchari		LT6-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-20		1							Oxford Nanopore	SAMN28835863	96.71	3.44
GCF_025765815.1	ASM2576581v1	Xanthomonas sacchari		LT6-2					GCF_025765815.1-RS_2024_05_06	Complete Genome	2022-10-20		1							Oxford Nanopore	SAMN28835863	96.71	3.44
GCA_025765895.1	ASM2576589v1	Xanthomonas sacchari		JR3-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-20		1							Oxford Nanopore	SAMN28835862	95.11	3.33
GCF_025765895.1	ASM2576589v1	Xanthomonas sacchari		JR3-14					GCF_025765895.1-RS_2024_05_06	Complete Genome	2022-10-20		1							Oxford Nanopore	SAMN28835862	95.11	3.33
GCF_024266585.1	ASM2426658v1	Xanthomonas sacchari		DD13					GCF_024266585.1-RS_2024_05_06	Complete Genome	2022-07-14		1							PacBio Sequel	SAMN29428044	96.7	4.52
GCA_025765835.1	ASM2576583v1	Xanthomonas sacchari		LT6-16-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-20		1							Oxford Nanopore	SAMN28835864	96.67	3.12
GCF_025765835.1	ASM2576583v1	Xanthomonas sacchari		LT6-16-1					GCF_025765835.1-RS_2024_05_06	Complete Genome	2022-10-20		1							Oxford Nanopore	SAMN28835864	96.67	3.12
GCA_000815185.1	ASM81518v1	Xanthomonas sacchari		R1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-01-06		2							PacBio	SAMN03273272	91.69	3.7
GCF_000815185.1	ASM81518v1	Xanthomonas sacchari		R1					GCF_000815185.1-RS_2024_05_05	Complete Genome	2015-01-06		2							PacBio	SAMN03273272	91.69	3.7
GCA_030286005.1	ASM3028600v1	Xanthomonas fragariae		LMG 703					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-06-18		3							PacBio	SAMN31935279	97.86	0.25
GCF_030286005.1	ASM3028600v1	Xanthomonas fragariae		LMG 703					GCF_030286005.1-RS_2024_05_06	Complete Genome	2023-06-18		3							PacBio	SAMN31935279	97.86	0.25
GCA_900183985.1	NBC2815.1	Xanthomonas fragariae		NBC2815					Annotation submitted by JLU	Complete Genome	2017-05-25		2								SAMEA104068690	97.58	0.25
GCF_900183985.1	NBC2815.1	Xanthomonas fragariae		NBC2815					GCF_900183985.1-RS_2024_05_05	Complete Genome	2017-05-25		2								SAMEA104068690	97.58	0.25
GCA_900183995.1	PD5205.1	Xanthomonas fragariae		PD5205					Annotation submitted by JLU	Complete Genome	2017-05-25		3								SAMEA104068691	97.87	0.25
GCF_900183995.1	PD5205.1	Xanthomonas fragariae		PD5205					GCF_900183995.1-RS_2024_05_05	Complete Genome	2017-05-25		3								SAMEA104068691	97.87	0.25
GCA_001705565.1	ASM170556v1	Xanthomonas fragariae					Fap21		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-08-16		3							PacBio RSII	SAMN05505397	97.85	0.25
GCF_001705565.1	ASM170556v1	Xanthomonas fragariae					Fap21		GCF_001705565.1-RS_2024_05_05	Complete Genome	2016-08-16		3							PacBio RSII	SAMN05505397	97.85	0.25
GCA_001705545.1	ASM170554v1	Xanthomonas fragariae					Fap29		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-08-16		3							PacBio RSII	SAMN05505398	97.85	0.25
GCF_001705545.1	ASM170554v1	Xanthomonas fragariae					Fap29		GCF_001705545.1-RS_2024_05_05	Complete Genome	2016-08-16		3							PacBio RSII	SAMN05505398	97.85	0.25
GCA_026967555.1	ASM2696755v1	Xanthomonas fragariae		YLX21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-18		1							Oxford Nanopore PromethION	SAMN32085140	97.97	0.42
GCF_026967555.1	ASM2696755v1	Xanthomonas fragariae		YLX21					GCF_026967555.1-RS_2024_05_06	Complete Genome	2022-12-18		1							Oxford Nanopore PromethION	SAMN32085140	97.97	0.42
GCA_022117535.1	ASM2211753v1	Xanthomonas fragariae		SHQP01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-02-09		2							Illumina HiSeq; PacBio	SAMN20719364	97.61	0.42
GCF_022117535.1	ASM2211753v1	Xanthomonas fragariae		SHQP01					GCF_022117535.1-RS_2024_05_12	Complete Genome	2022-02-09		2							Illumina HiSeq; PacBio	SAMN20719364	97.61	0.42
GCF_017603965.1	ASM1760396v1	Xanthomonas fragariae		YL19					GCF_017603965.1-RS_2024_05_12	Complete Genome	2021-03-29		2							Oxford Nanopore PromethION; Illumina NovaSeq	SAMN18384492	97.61	0.42
GCF_030864095.1	ASM3086409v1	Xanthomonas albilineans		Xa21					GCF_030864095.1-RS_2024_05_12	Complete Genome	2023-08-23		1							Oxford Nanopore MiniION	SAMN24462203	87.43	3.27
GCF_030864115.1	ASM3086411v1	Xanthomonas albilineans		Xa11					GCF_030864115.1-RS_2024_05_12	Complete Genome	2023-08-23		1							Oxford Nanopore MiniION	SAMN24462202	87.96	3.02
GCF_030864135.1	ASM3086413v1	Xanthomonas albilineans		Xa04					GCF_030864135.1-RS_2024_05_06	Complete Genome	2023-08-23		1							Oxford Nanopore MiniION	SAMN24462201	87.56	2.53
GCA_000087965.1	ASM8796v1	Xanthomonas albilineans GPE PC73		GPE PC73					Annotation submitted by Genoscope	Complete Genome	2010-05-05		4								SAMEA3138291	88.42	3.11
GCF_000087965.2	ASM8796v1	Xanthomonas albilineans GPE PC73		GPE PC73					GCF_000087965.2-RS_2024_05_05	Complete Genome	2010-05-05		4								SAMEA3138291	88.42	3.11
GCA_001908815.1	ASM190881v1	Xanthomonas vesicatoria		LM159					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-19		4							PacBio RSII	SAMN05823142	99.13	1.59
GCF_001908815.1	ASM190881v1	Xanthomonas vesicatoria		LM159					GCF_001908815.1-RS_2024_05_05	Complete Genome	2016-12-19		4							PacBio RSII	SAMN05823142	99.13	1.59
GCA_040202575.2	WHRI8302v2_ONT	Xanthomonas vesicatoria		WHRI 8302					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-28		2							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354507	99.67	0.51
GCF_040202575.2	WHRI8302v2_ONT	Xanthomonas vesicatoria		WHRI 8302					GCF_040202575.2-RS_2024_08_29	Complete Genome	2024-08-29		2							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354507	99.67	0.51
GCA_025263725.1	ASM2526372v1	Xanthomonas prunicola		MAI5084					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19		1							Oxford Nanopore MinION	SAMN27632082	98.83	0.87
GCF_025263725.1	ASM2526372v1	Xanthomonas prunicola		MAI5084					GCF_025263725.1-RS_2024_05_06	Complete Genome	2022-09-19		1							Oxford Nanopore MinION	SAMN27632082	98.83	0.87
GCA_023822485.1	ASM2382248v1	Xanthomonas prunicola		Arg-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-06-21		1							Oxford Nanopore MinION	SAMN26927326	95.7	0.21
GCF_023822485.1	ASM2382248v1	Xanthomonas prunicola		Arg-1					GCF_023822485.1-RS_2024_05_12	Complete Genome	2022-06-21		1							Oxford Nanopore MinION	SAMN26927326	95.7	0.21
GCA_025263785.1	ASM2526378v1	Xanthomonas prunicola		MAI5037					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19		1							Oxford Nanopore MinION	SAMN27632080	99.58	0.61
GCF_025263785.1	ASM2526378v1	Xanthomonas prunicola		MAI5037					GCF_025263785.1-RS_2024_05_12	Complete Genome	2022-09-19		1							Oxford Nanopore MinION	SAMN27632080	99.58	0.61
GCA_025263745.1	ASM2526374v1	Xanthomonas prunicola		MAI5069					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19		1							Oxford Nanopore MinION	SAMN27632081	99.26	
GCF_025263745.1	ASM2526374v1	Xanthomonas prunicola		MAI5069					GCF_025263745.1-RS_2024_05_12	Complete Genome	2022-09-19		1							Oxford Nanopore MinION	SAMN27632081	99.26	
GCA_025266285.1	ASM2526628v1	Xanthomonas prunicola		CIX383					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19		1							Oxford Nanopore MinION	SAMN27632079	99.04	0.03
GCF_025266285.1	ASM2526628v1	Xanthomonas prunicola		CIX383					GCF_025266285.1-RS_2024_05_12	Complete Genome	2022-09-19		1							Oxford Nanopore MinION	SAMN27632079	99.04	0.03
GCA_025266735.1	ASM2526673v1	Xanthomonas prunicola		CIX97					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19		1							Oxford Nanopore MinION	SAMN27632078	99.02	0.03
GCF_025266735.1	ASM2526673v1	Xanthomonas prunicola		CIX97					GCF_025266735.1-RS_2024_05_12	Complete Genome	2022-09-19		1							Oxford Nanopore MinION	SAMN27632078	99.02	0.03
GCA_028752015.1	ASM2875201v1	Xanthomonas cucurbitae		WI_206					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							Illumina MiSeq, Oxford Nanopore GridION	SAMN20360356	98.23	1.27
GCF_028752015.1	ASM2875201v1	Xanthomonas cucurbitae		WI_206					GCF_028752015.1-RS_2024_05_06	Complete Genome	2023-02-21		1							Illumina MiSeq, Oxford Nanopore GridION	SAMN20360356	98.23	1.27
GCA_028752035.1	ASM2875203v1	Xanthomonas cucurbitae		OH_261					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							Illumina MiSeq, Oxford Nanopore GridION	SAMN20360355	98.23	1.27
GCF_028752035.1	ASM2875203v1	Xanthomonas cucurbitae		OH_261					GCF_028752035.1-RS_2024_05_06	Complete Genome	2023-02-21		1							Illumina MiSeq, Oxford Nanopore GridION	SAMN20360355	98.23	1.27
GCA_028752055.1	ASM2875205v1	Xanthomonas cucurbitae		MI_359					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							Illumina MiSeq, Oxford Nanopore GridION	SAMN20360354	98.13	1.33
GCF_028752055.1	ASM2875205v1	Xanthomonas cucurbitae		MI_359					GCF_028752055.1-RS_2024_05_06	Complete Genome	2023-02-21		2							Illumina MiSeq, Oxford Nanopore GridION	SAMN20360354	98.13	1.33
GCA_028752095.1	ASM2875209v1	Xanthomonas cucurbitae		IL_234					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							Illumina MiSeq, Oxford Nanopore GridION	SAMN20360352	98.23	1.28
GCF_028752095.1	ASM2875209v1	Xanthomonas cucurbitae		IL_234					GCF_028752095.1-RS_2024_05_12	Complete Genome	2023-02-21		1							Illumina MiSeq, Oxford Nanopore GridION	SAMN20360352	98.23	1.28
GCA_028752075.1	ASM2875207v1	Xanthomonas cucurbitae		KS_456					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							Illumina MiSeq, Oxford Nanopore GridION	SAMN20360353	98.25	1.28
GCF_028752075.1	ASM2875207v1	Xanthomonas cucurbitae		KS_456					GCF_028752075.1-RS_2024_05_12	Complete Genome	2023-02-21		1							Illumina MiSeq, Oxford Nanopore GridION	SAMN20360353	98.25	1.28
GCA_040616485.1	ASM4061648v1	Xanthomonas cannabis		DAR82752					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-07-11		1							Oxford Nanopore PromethION	SAMN35449589	99.38	0.91
GCF_040616485.1	ASM4061648v1	Xanthomonas cannabis		DAR82752					GCF_040616485.1-RS_2024_07_11	Complete Genome	2024-07-12		1							Oxford Nanopore PromethION	SAMN35449589	99.38	0.91
GCA_040616495.1	ASM4061649v1	Xanthomonas cannabis		DAR82727					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-07-11		1							Oxford Nanopore PromethION	SAMN35449588	99.38	0.96
GCF_040616495.1	ASM4061649v1	Xanthomonas cannabis		DAR82727					GCF_040616495.1-RS_2024_07_11	Complete Genome	2024-07-12		1							Oxford Nanopore PromethION	SAMN35449588	99.38	0.96
GCA_040616505.1	ASM4061650v1	Xanthomonas cannabis		DAR41374					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-07-11		1							Oxford Nanopore PromethION	SAMN35449587	99.38	0.91
GCF_040616505.1	ASM4061650v1	Xanthomonas cannabis		DAR41374					GCF_040616505.1-RS_2024_07_11	Complete Genome	2024-07-12		1							Oxford Nanopore PromethION	SAMN35449587	99.38	0.91
GCA_040616435.1	ASM4061643v1	Xanthomonas cannabis		DAR82756					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-07-11		1							Oxford Nanopore PromethION	SAMN35449590	99.28	1.37
GCF_040616435.1	ASM4061643v1	Xanthomonas cannabis		DAR82756					GCF_040616435.1-RS_2024_07_11	Complete Genome	2024-07-12		1							Oxford Nanopore PromethION	SAMN35449590	99.28	1.37
GCA_023337295.3	ASM2333729v3	Xanthomonas nasturtii		8853					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-09-06		1							Illumina NovaSeq; Oxford Nanopore MinION	SAMN27412262	98.53	0.73
GCF_023337295.3	ASM2333729v3	Xanthomonas nasturtii		8853					GCF_023337295.3-RS_2024_09_11	Complete Genome	2024-09-06		1							Illumina NovaSeq; Oxford Nanopore MinION	SAMN27412262	98.53	0.73
GCA_905187425.1	Xanthomonas sp. CPBF 424  - hybrid assembly	Xanthomonas euroxanthea					X. euroxanthea CPBF 424		Annotation submitted by CIBIO-Inbio	Complete Genome	2021-02-01		1								SAMEA7742038	99.43	0.15
GCF_905187425.1	Xanthomonas sp. CPBF 424  - hybrid assembly	Xanthomonas euroxanthea					X. euroxanthea CPBF 424		GCF_905187425.1-RS_2024_05_06	Complete Genome	2021-02-01		1								SAMEA7742038	99.43	0.15
GCA_905367725.1	Xanthomonas sp. CPBF 761 hybrid assembly 2	Xanthomonas euroxanthea					Xanthomonas euroxanthea CPBF 761 isolated from C. illinoinensis		Annotation submitted by CIBIO-Inbio	Complete Genome	2021-03-24		1								SAMEA8241782	98.97	0.61
GCF_905367725.1	Xanthomonas sp. CPBF 761 hybrid assembly 2	Xanthomonas euroxanthea					Xanthomonas euroxanthea CPBF 761 isolated from C. illinoinensis		GCF_905367725.1-RS_2024_05_06	Complete Genome	2021-03-24		1								SAMEA8241782	98.97	0.61
GCA_023337365.3	ASM2333736v3	Xanthomonas nasturtii		10053					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-27		1							Illumina NovaSeq; Oxford Nanopore MinION	SAMN27412259	99.18	1.06
GCF_023337365.3	ASM2333736v3	Xanthomonas nasturtii		10053					GCF_023337365.3-RS_2024_09_04	Complete Genome	2024-08-27		1							Illumina NovaSeq; Oxford Nanopore MinION	SAMN27412259	99.18	1.06
GCA_905367735.1	Xanthomonas sp. CPBF 766 hybrid assembly 2	Xanthomonas euroxanthea					Xanthomonas euroxanthea CPBF 766 isolated from C. illinoinensis		Annotation submitted by CIBIO-Inbio	Complete Genome	2021-03-24		1								SAMEA8241781	99.22	0.32
GCF_905367735.1	Xanthomonas sp. CPBF 766 hybrid assembly 2	Xanthomonas euroxanthea					Xanthomonas euroxanthea CPBF 766 isolated from C. illinoinensis		GCF_905367735.1-RS_2024_05_06	Complete Genome	2021-03-24		1								SAMEA8241781	99.22	0.32
GCA_041228095.2	NCPPB3005v2_ONT	Xanthomonas sp. NCPPB 3005		NCPPB 3005					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-27		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN41997674	96.8	4.72
GCF_041228095.2	NCPPB3005v2_ONT	Xanthomonas sp. NCPPB 3005		NCPPB 3005					GCF_041228095.2-RS_2024_08_29	Complete Genome	2024-08-29		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN41997674	96.8	4.72
GCA_041240605.1	ASM4124060v1	Xanthomonas sp. DAR 80977		DAR 80977					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-13		1							Oxford Nanopore PromethION; Illumina HiSeq	SAMN41704776	97.18	4.11
GCF_041240605.1	ASM4124060v1	Xanthomonas sp. DAR 80977		DAR 80977					GCF_041240605.1-RS_2024_08_14	Complete Genome	2024-08-14		1							Oxford Nanopore PromethION; Illumina HiSeq	SAMN41704776	97.18	4.11
GCA_041242975.1	ASM4124297v1	Xanthomonas sp. DAR 35659		DAR 35659					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-13		1							Oxford Nanopore PromethION; Illumina HiSeq	SAMN41704775	96.56	3.46
GCF_041242975.1	ASM4124297v1	Xanthomonas sp. DAR 35659		DAR 35659					GCF_041242975.1-RS_2024_08_14	Complete Genome	2024-08-14		1							Oxford Nanopore PromethION; Illumina HiSeq	SAMN41704775	96.56	3.46
GCA_041228055.1	NCPPB4692v1	Xanthomonas hydrangeae		NCPPB 4692					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-12		5							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN41996498	99.33	2.14
GCF_041228055.1	NCPPB4692v1	Xanthomonas hydrangeae		NCPPB 4692					GCF_041228055.1-RS_2024_08_13	Complete Genome	2024-08-14		5							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN41996498	99.33	2.14
GCA_040202455.2	ASM4020245v2	Xanthomonas dyei		WHRI 5755					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-28		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354553	99.2	1.23
GCF_040202455.2	ASM4020245v2	Xanthomonas dyei		WHRI 5755					GCF_040202455.2-RS_2024_08_29	Complete Genome	2024-08-29		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354553	99.2	1.23
GCA_041245805.1	ASM4124580v1	Xanthomonas sp. DAR 34887		DAR 34887					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-13		1							Oxford Nanopore PromethION; Illumina HiSeq	SAMN41704773	97.06	3.96
GCF_041245805.1	ASM4124580v1	Xanthomonas sp. DAR 34887		DAR 34887					GCF_041245805.1-RS_2024_08_14	Complete Genome	2024-08-14		1							Oxford Nanopore PromethION; Illumina HiSeq	SAMN41704773	97.06	3.96
GCA_041245535.1	ASM4124553v1	Xanthomonas sp. DAR 34893		DAR 34893					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-13		1							Oxford Nanopore PromethION; Illumina HiSeq	SAMN41704774	97.06	3.96
GCF_041245535.1	ASM4124553v1	Xanthomonas sp. DAR 34893		DAR 34893					GCF_041245535.1-RS_2024_08_14	Complete Genome	2024-08-14		1							Oxford Nanopore PromethION; Illumina HiSeq	SAMN41704774	97.06	3.96
GCA_041475665.1	NCPPB4467v1_ONT	Xanthomonas sp. NCPPB 4467		NCPPB 4467					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-26		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN42161494	99.17	1.58
GCF_041475665.1	NCPPB4467v1_ONT	Xanthomonas sp. NCPPB 4467		NCPPB 4467					GCF_041475665.1-RS_2024_08_28	Complete Genome	2024-08-29		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN42161494	99.17	1.58
GCA_041475675.1	NCPPB4468v1_ONT	Xanthomonas sp. NCPPB 4468		NCPPB 4468					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-26		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN42161495	99.17	1.58
GCF_041475675.1	NCPPB4468v1_ONT	Xanthomonas sp. NCPPB 4468		NCPPB 4468					GCF_041475675.1-RS_2024_08_28	Complete Genome	2024-08-29		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN42161495	99.17	1.58
GCA_033441695.1	ASM3344169v1	Xanthomonas dyei		22-325					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-08		2							Illumina HiSeq, Oxford Nanopore MinION	SAMN30526390	99.16	1.27
GCF_033441695.1	ASM3344169v1	Xanthomonas dyei		22-325					GCF_033441695.1-RS_2024_05_12	Complete Genome	2023-11-08		2							Illumina HiSeq, Oxford Nanopore MinION	SAMN30526390	99.16	1.27
GCA_041475815.1	NCPPB1560v1_ONT	Xanthomonas sp. NCPPB 1560		NCPPB 1560					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-26		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN42161500	99.15	1.51
GCF_041475815.1	NCPPB1560v1_ONT	Xanthomonas sp. NCPPB 1560		NCPPB 1560					GCF_041475815.1-RS_2024_08_28	Complete Genome	2024-08-29		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN42161500	99.15	1.51
GCA_040203125.2	WHRI64Av2_ONT	Xanthomonas dyei		WHRI 64A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-09-11		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354561	99.17	1.51
GCF_040203125.2	WHRI64Av2_ONT	Xanthomonas dyei		WHRI 64A					GCF_040203125.2-RS_2024_09_12	Complete Genome	2024-09-13		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354561	99.17	1.51
GCA_014236855.1	ASM1423685v1	Xanthomonas sp. SI		SI					Annotation submitted by AgriBio	Complete Genome	2020-08-18		1							Illumina HiSeq; Oxford Nanopore	SAMN14490121	96.33	3.19
GCF_014236855.1	ASM1423685v1	Xanthomonas sp. SI		SI					GCF_014236855.1-RS_2024_05_12	Complete Genome	2020-08-18		1							Illumina HiSeq; Oxford Nanopore	SAMN14490121	96.33	3.19
GCA_025666195.1	ASM2566619v1	Xanthomonas sp. CFBP 8443		CFBP 8443					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-12		1							PacBio Sequel	SAMN30147989	96.02	3.43
GCF_025666195.1	ASM2566619v1	Xanthomonas sp. CFBP 8443		CFBP 8443					GCF_025666195.1-RS_2024_05_06	Complete Genome	2022-10-12		1							PacBio Sequel	SAMN30147989	96.02	3.43
GCA_014236815.1	ASM1423681v1	Xanthomonas sp. GW		GW					Annotation submitted by AgriBio	Complete Genome	2020-08-18		1							Illumina HiSeq; Oxford Nanopore	SAMN14490119	96.29	3.17
GCF_014236815.1	ASM1423681v1	Xanthomonas sp. GW		GW					GCF_014236815.1-RS_2024_05_12	Complete Genome	2020-08-18		1							Illumina HiSeq; Oxford Nanopore	SAMN14490119	96.29	3.17
GCA_003999525.1	ASM399952v1	Xanthomonas sp. ISO98C4		ISO98C4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-08		3							Illumina; PacBio	SAMN03842214	99.14	0.71
GCF_003999525.1	ASM399952v1	Xanthomonas sp. ISO98C4		ISO98C4					GCF_003999525.1-RS_2024_05_06	Complete Genome	2019-01-08		3							Illumina; PacBio	SAMN03842214	99.14	0.71
GCA_014236835.1	ASM1423683v1	Xanthomonas sp. SS		SS					Annotation submitted by AgriBio	Complete Genome	2020-08-18		1							Illumina HiSeq; Oxford Nanopore	SAMN14490120	96.85	3.55
GCF_014236835.1	ASM1423683v1	Xanthomonas sp. SS		SS					GCF_014236835.1-RS_2024_05_06	Complete Genome	2020-08-18		1							Illumina HiSeq; Oxford Nanopore	SAMN14490120	96.85	3.55
GCA_041475695.1	NCPPB4037v1_ONT	Xanthomonas sp. NCPPB 4037		NCPPB 4037					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-26		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN42161492	99.89	1.02
GCF_041475695.1	NCPPB4037v1_ONT	Xanthomonas sp. NCPPB 4037		NCPPB 4037					GCF_041475695.1-RS_2024_08_28	Complete Genome	2024-08-29		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN42161492	99.89	1.02
GCA_015224665.2	ASM1522466v2	Xanthomonas sp. WG16		WG16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-07-16		5							Illumina HiSeq	SAMN16287648	99.23	1.55
GCF_015224665.2	ASM1522466v2	Xanthomonas sp. WG16		WG16					GCF_015224665.2-RS_2024_05_06	Complete Genome	2021-07-16		5							Illumina HiSeq	SAMN16287648	99.23	1.55
GCA_040182365.1	ASM4018236v1	Xanthomonas sp. 10-10		10-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-06-14		1							PacBio Sequel	SAMN39575942	99.19	0.81
